complaint_id,category,from_dept,to_dept,transfer_date,resolved,days_open
20437482,Electrical,Electrical Dept,Town Planning Dept,2024-01-06,True,6
20437344,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2024-01-10,False,10
20437344,Solid Waste (Garbage) Related,Health Dept,Health Dept,2024-01-20,True,20
20437322,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2024-02-17,True,48
20437305,Road Maintenance(Engg),PWD,Municipal Corp,2024-02-11,True,42
20437238,Electrical,Electrical Dept,Municipal Corp,2024-01-05,True,6
20437228,Electrical,Electrical Dept,Town Planning Dept,2024-01-18,True,19
20437224,Electrical,Electrical Dept,Municipal Corp,2024-02-08,True,40
20437197,Solid Waste (Garbage) Related,Sanitation Dept,Municipal Corp,2024-01-08,False,9
20437197,Solid Waste (Garbage) Related,Municipal Corp,PWD,2024-01-17,True,18
20437125,Electrical,Electrical Dept,Municipal Corp,2024-01-27,False,28
20437125,Electrical,Municipal Corp,Municipal Corp,2024-02-24,True,56
20437013,Electrical,Electrical Dept,PWD,2024-01-12,False,13
20437013,Electrical,PWD,Municipal Corp,2024-01-25,True,26
20436988,veterinary,Veterinary Dept,Municipal Corp,2024-02-21,True,53
20436974,Road Maintenance(Engg),PWD,Municipal Corp,2024-01-09,True,10
20436904,Electrical,Electrical Dept,PWD,2024-01-25,True,27
20436859,Solid Waste (Garbage) Related,Sanitation Dept,Health Dept,2024-01-26,False,28
20436859,Solid Waste (Garbage) Related,Health Dept,PWD,2024-02-23,True,56
20436818,Electrical,Electrical Dept,Municipal Corp,2024-01-17,False,19
20436818,Electrical,Municipal Corp,PWD,2024-02-05,True,38
20436648,Solid Waste (Garbage) Related,Sanitation Dept,Municipal Corp,2024-02-07,True,40
20436592,Road Maintenance(Engg),PWD,Town Planning Dept,2024-01-17,False,20
20436592,Road Maintenance(Engg),Town Planning Dept,SWD Dept,2024-02-06,True,40
20436571,Electrical,Electrical Dept,Town Planning Dept,2024-01-04,True,7
20436564,Electrical,Electrical Dept,PWD,2024-02-20,True,54
20436480,Road Maintenance(Engg),PWD,Town Planning Dept,2024-02-25,False,59
20436462,Electrical,Electrical Dept,PWD,2024-01-26,True,29
20436415,Solid Waste (Garbage) Related,Sanitation Dept,Municipal Corp,2024-01-19,False,22
20436415,Solid Waste (Garbage) Related,Municipal Corp,Health Dept,2024-02-10,True,44
20436342,Electrical,Electrical Dept,Municipal Corp,2024-01-10,False,13
20436342,Electrical,Municipal Corp,Town Planning Dept,2024-01-23,True,26
20436325,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2024-01-21,False,24
20436325,Solid Waste (Garbage) Related,PWD,PWD,2024-02-14,True,48
20436316,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2024-02-09,True,43
20436292,Solid Waste (Garbage) Related,Sanitation Dept,PWD,2024-02-05,True,39
20436196,Electrical,Electrical Dept,PWD,2024-01-11,True,15
